UNITS,PRICE,DATE
44,1.38,1-1-2009
60,1.465,1-2-2009
54,1.4625,1-3-2009
61,1.374,1-4-2009
78,1.24,1-5-2009
58,1.4525,1-6-2009
62,1.418,1-7-2009
50,1.2425,1-8-2009
77,1.228,1-9-2009
92,1.4725,1-10-2009
112,1.4925,1-11-2009
144,1.294,1-12-2009
128,1.2425,1-1-2010
118,1.435,1-2-2010
109,1.468,1-3-2010
96,1.4775,1-4-2010
119,1.4875,1-5-2010
110,1.476,1-6-2010
70,1.4875,1-7-2010
62,1.4725,1-8-2010
101,1.466,1-9-2010
56,1.365,1-10-2010
64,1.3475,1-11-2010
83,1.514,1-12-2010
73,1.5275,1-1-2011
51,1.535,1-2-2011
43,1.536,1-3-2011
45,1.535,1-4-2011
54,1.54,1-5-2011
42,1.528,1-6-2011
40,1.5375,1-7-2011
45,1.552,1-8-2011
37,1.54,1-9-2011
44,1.58,1-10-2011
60,1.625,1-11-2011
74,1.63,1-12-2011
11,1.6,1-1-2012
